sensor_time,speed,pwm_value
1196,495.41,125
1188,498.38,85
1216,498.38,115
1228,499.7,101
1228,497.75,135
1208,496.75,127
1200,494.75,139
1212,495.08,115
1184,496.43,104
1188,499.72,92
1216,499.07,121
1220,498.42,122
1216,498.09,119
1216,495.42,136
1188,494.75,126
1228,493.78,130
1216,494.11,116
1208,494.11,120
1196,495.76,102
1188,496.43,111
1184,500.06,77
1224,503.08,81
1200,504.39,96
1240,500.83,149
1224,497.22,153
1224,493.91,153
1212,491.23,149
1172,493.61,96
1176,495.85,96
1208,497.79,97
1212,498.76,105
1208,499.08,112
1216,497.03,137
1192,498.69,99
1220,497.71,123
1220,499.04,102
1220,498.06,126
1208,497.06,127
1192,497.06,117
1180,497.39,113
1184,498.41,105
1192,500.72,90
1220,499.74,124
1208,497.75,130
1212,498.08,113
1212,495.74,142
1188,496.07,115
1224,495.75,122
1216,495.75,118
1208,496.08,115
1200,497.07,107
1196,496.4,124
1192,499.03,89
1228,498.06,126
1232,498.73,111
1228,496.45,141
1208,495.45,129
1196,493.79,137
1208,495.41,103
1188,496.42,108
1192,499.37,85
1224,498.71,122
1220,498.06,123
1212,497.74,120
1216,495.41,142
1192,495.75,115
1224,495.1,126
1216,495.43,117
1204,496.09,112
1196,497.74,100
1188,497.74,117
1188,500.71,84
1228,503.03,88
1208,502.7,115
1240,499.14,151
1224,496.17,138
1200,493.2,151
1216,490.87,147
1176,493.58,94
1176,495.49,100
1208,496.79,105
1204,498.41,100
1196,500.07,98
1212,498.7,130
1188,501.02,90
1228,499.4,131
1232,497.14,140
1220,494.52,146
1204,493.52,131
1192,493.18,125
1180,497.16,78
1176,501.79,66
1200,504.07,88
1236,501.49,139
1216,497.91,153
1216,494.9,150
1208,492.2,140
1168,494.94,92
1168,497.85,88
1196,501.1,81
1200,502.41,99
1196,504.08,94
1192,502.02,133
1184,503.37,98
1220,501.39,133
1220,501.73,110
1220,499.08,133
1204,498.07,127
1192,496.06,139
1208,497.04,108
1180,498.4,103
1188,501.05,87
1220,500.06,124
1220,499.09,125
1212,498.76,119
1208,496.4,142
1184,496.4,118
1216,496.4,118
1212,497.05,111
1204,497.71,110
1196,498.71,106
1192,498.37,120
1184,501.03,87
1220,500.39,121
1200,500.72,111
1228,498.1,143
1208,496.77,131
1196,494.43,144
1208,495.41,110
1176,497.45,97
1180,501.42,74
1216,501.09,117
1216,500.77,117
1212,500.44,117
1216,497.08,151
1192,495.72,133
1228,494.43,129
1216,494.43,120
1208,494.43,120
1192,496.42,99
1188,497.1,111
1184,500.73,78
1224,503.39,85
1200,504.38,101
1236,500.8,150
1220,496.88,157
1220,493.89,151
1208,491.87,143
1172,494.26,97
1168,496.84,92
1196,500.09,82
1196,502.06,93
1200,502.73,106
1208,500.67,135
1192,501.67,103
1224,499.38,139
1224,497.08,141
1216,495.77,128
1192,496.1,116
1180,497.13,108
1172,501.48,70
1180,505.13,73
1196,506.78,92
1236,503.2,148
1216,499.23,156
1208,496.17,149
1200,494.48,137
1164,497.24,99
1168,500.48,82
1200,502.76,89
1204,503.1,109
1204,503.1,112
1196,500.34,142
1188,501.01,107
1220,499.37,132
1216,500.38,105
1212,499.39,126
1196,499.39,116
1184,499.73,112
1172,501.37,97
1176,502.74,99
1188,504.74,90
1220,502.76,132
1220,499.77,145
1208,499.11,122
1204,496.74,142
1180,497.42,111
1184,497.75,114
1216,498.07,114
1208,498.07,117
1204,498.4,113
1192,497.38,128
1184,500.04,88
1220,499.72,119
1224,501.05,101
1224,499.09,136
1208,497.76,131
1196,496.74,125
1180,497.72,111
1180,498.74,106
1188,501.71,84
1220,500.74,124
1216,499.09,132
1212,498.76,120
1212,496.07,146
1188,496.07,119
1220,496.07,119
1212,496.4,115
1204,497.06,112
1196,498.38,104
1188,498.38,117
1184,501.37,84
1224,500.4,124
1224,500.74,111
1228,498.12,143
1208,496.45,135
1192,494.11,144
1212,495.08,110
1176,497.12,98
1184,500.75,90
1220,500.1,122
1212,500.1,115
1208,500.42,112
1212,497.39,148
1188,496.71,125
1224,496.07,123
1216,495.74,123
1200,496.4,112
1188,498.07,101
1184,498.75,110
1180,502.4,76
1216,502.4,113
1200,502.4,113
1228,499.45,145
1204,497.77,134
1196,495.41,143
1208,496.06,113
1176,498.1,97
1188,501.39,81
1220,500.74,119
1220,499.76,125
1208,499.76,116
1212,498.05,134
1188,498.05,117
1220,497.4,124
1216,497.73,114
1208,497.07,125
1200,496.74,122
1192,496.4,122
1184,499.39,86
1220,502.4,83
1200,503.72,98
1236,500.8,144
1216,497.85,147
1212,495.51,143
1208,493.15,146
1168,495.89,101
1168,498.48,91
1196,501.09,88
1196,502.41,104
1196,503.41,102
1208,502.02,127
1184,503.71,95
1224,501.41,137
1228,498.8,143
1216,496.5,142
1200,495.15,134
1184,495.15,120
1172,499.5,72
1208,504.87,57
1188,507.84,78
1232,505.25,136
1220,500.98,157
1220,496.95,159
1204,493.53,156
1164,495.61,99
1160,498.54,88
1188,502.47,74
1192,504.78,88
1196,506.12,96
1192,503.7,128
1188,504.37,104
1220,501.72,140
1216,501.72,114
1212,499.72,136
1196,499.39,119
1184,499.73,112
1176,501.7,94
1176,503.07,99
1188,505.07,90
1220,503.1,132
1208,500.11,145
1204,499.44,123
1204,497.07,142
1172,498.45,108
1180,498.77,113
1212,499.42,109
1204,499.42,116
1200,500.09,109
1204,498.71,130
1184,501.37,96
1216,501.05,118
1220,502.05,103
1220,500.08,135
1204,498.74,130
1188,498.39,120
1176,499.38,106
1172,501.1,97
1184,504.09,81
1220,502.78,126
1208,500.13,142
1208,499.8,119
1204,497.08,145
1172,498.12,107
1180,498.77,110
1216,499.09,113
1212,498.76,120
1204,498.76,117
1192,497.04,135
1188,499.04,96
1216,499.04,116
1216,501.04,101
1216,500.06,125
1204,499.06,123
1192,498.72,120
1184,499.04,113
1184,499.38,113
1192,501.37,94
1224,499.74,132
1224,497.11,145
1212,497.11,118
1208,495.1,140
1184,495.78,113
1216,496.42,113
1212,497.39,108
1208,497.72,114
1200,499.05,103
1188,498.71,120
1184,501.38,87
1224,500.41,125
1224,501.41,104
1224,498.77,143
1212,496.77,132
1196,495.76,130
1188,497.06,105
1180,498.42,103
1188,501.39,84
1220,500.74,119
1220,498.76,136
1212,498.44,120
1216,495.43,150
1188,495.43,120
1220,495.43,120
1208,496.4,109
1204,497.06,112
1196,499.39,93
1184,499.73,112
1184,502.72,83
1228,501.1,131
1232,501.77,107
1224,498.8,146
1208,496.78,139
1192,494.44,137
1212,495.73,107
1176,497.44,101
1188,500.41,86
1220,499.75,122
1216,499.43,119
1208,499.76,113
1212,496.73,149
1192,496.73,119
1224,496.08,126
1216,496.08,120
1204,496.41,116
1192,497.74,109
1184,498.08,114
1180,501.73,77
1220,501.41,118
1200,501.74,111
1228,499.13,143
1212,496.79,142
1192,494.1,149
1208,495.08,114
1168,497.82,91
1180,501.79,74
1212,502.12,110
1212,502.12,114
1208,502.12,114
1212,498.39,155
1184,497.37,129
1224,496.07,133
1216,495.74,123
1208,495.41,124
1192,497.41,98
1184,498.09,111
1180,501.75,78
1216,505.11,77
1200,506.1,100
1244,501.55,160
1216,498.88,144
1188,496.2,146
1200,494.16,142
1160,497.61,84
1156,504.95,62
1196,507.27,85
1196,508.6,94
1200,508.6,107
1208,505.49,141
1188,502.69,132
1220,500.04,142
1208,499.04,127
1196,498.71,120
1184,499.73,106
1176,500.76,105
1172,504.79,71
1212,507.49,81
1192,508.49,97
1232,504.54,151
1216,501.19,148
1196,497.81,152
1204,495.44,144
1164,497.86,94
1168,503.19,59
1200,504.51,102
1200,505.5,100
1200,505.83,106
1212,503.41,136
1188,501.68,131
1224,499.72,135
1216,498.4,130
1204,497.74,124
1184,498.42,110
1184,498.76,113
1172,503.11,69
1216,506.82,72
1192,508.15,94
1236,503.89,154
1224,500.58,148
1200,496.55,146
1212,493.17,156
1180,494.19,111
1168,499.84,59
1204,502.14,90
1200,503.78,95
1204,504.44,107
1208,502.41,133
1188,500.68,132
1224,498.38,140
1216,497.07,132
1204,496.41,126
1184,498.09,101
1184,498.44,114
1176,502.44,73
1212,506.49,68
1188,508.49,87
1236,504.23,154
1220,500.28,155
1224,496.28,159
1204,493.21,153
1164,495.29,99
1164,498.54,84
1192,501.81,81
1196,504.1,88
1200,504.43,108
1208,501.67,141
1188,502.35,109
1220,500.04,138
1208,499.04,126
1196,498.71,120
1184,499.73,106
1176,500.76,108
1168,505.14,66
1212,508.54,73
1192,509.54,96
1236,505.28,153
1220,501.6,151
1196,497.54,158
1204,494.47,152
1164,496.89,94
1164,502.9,52
1188,505.55,83
1200,506.86,95
1200,507.2,105
1212,504.44,138
1188,502.35,134
1224,499.38,136
1212,498.39,127
1204,497.4,128
1192,497.74,114
1180,498.43,110
1172,502.77,69
1216,506.5,71
1192,508.17,90
1236,504.58,146
1216,499.97,161
1216,496.27,156
1204,493.2,153
1148,497.06,80
1160,500.98,75
1188,504.9,71
1196,506.55,92
1200,506.88,105
1208,502.69,154
1188,502.69,112
1216,500.36,138
1204,499.7,122
1196,499.36,118
1180,500.72,105
1176,501.76,103
1172,505.46,73
1216,508.18,80
1192,509.19,96
1232,504.89,153
1216,500.89,154
1216,497.19,155
1208,494.13,151
1164,496.56,94
1164,499.49,86
1192,502.12,87
1192,504.11,91
1200,504.77,104
1208,502.35,137
1192,502.68,109
1220,500.37,138
1216,498.39,136
1204,496.75,135
1192,496.75,118
1176,498.12,103
1164,502.85,65
1208,506.91,68
1188,509.55,79
1232,506.29,141
1220,501.65,160
1212,497.56,158
1200,494.83,148
1156,497.62,89
1152,501.23,78
1188,504.84,74
1196,506.16,96
1196,506.5,105
1204,503.36,143
1188,503.36,112
1220,500.71,141
1208,499.71,122
1196,499.38,119
1180,500.4,104
1172,501.78,104
1168,506.16,65
1212,509.21,75
1188,510.22,94
1236,505.62,155
1216,501.91,150
1196,497.85,157
1200,495.47,143
1164,497.55,96
1168,503.2,55
1196,504.85,93
1208,505.5,103
1208,504.84,116
1212,501.75,144
1192,499.68,136
1220,497.71,137
1208,497.71,117
1204,497.71,117
1188,498.72,106
1188,499.06,112
1176,502.74,75
1220,505.09,94
1196,506.09,99
1232,502.48,148
1212,498.88,152
1212,495.84,149
1200,494.15,137
1160,497.26,86
1164,500.2,85
1192,503.46,79
1196,504.79,97
1200,504.79,110
1208,502.01,140
1184,503.03,101
1216,501.04,133
1216,502.06,106
1212,501.07,123
1204,500.06,125
1196,499.05,126
1184,499.7,108
1184,499.7,115
1192,501.36,97
1216,500.38,121
1204,498.73,132
1216,498.08,123
1208,496.06,139
1180,497.09,107
1180,497.09,118
1208,497.74,110
1200,499.05,102
1196,500.05,105
1204,499.37,122
1188,501.69,90
1220,500.72,124
1224,501.05,110
1220,499.08,135
1204,497.73,130
1196,497.06,124
1184,498.37,103
1180,499.73,101
1196,501.7,93
1224,500.07,131
1208,498.1,126
1216,497.11,127
1216,494.1,151
1188,494.78,113
1224,494.78,120
1216,495.1,116
1204,496.09,109
1200,497.74,101
1188,497.74,117
1184,501.05,81
1228,500.08,124
1236,500.42,111
1232,497.48,147
1212,495.48,139
1192,494.8,127
1176,496.75,99
1176,498.79,96
1188,502.4,76
1220,502.07,116
1220,499.76,138
1216,498.78,126
1212,495.75,139
1180,496.09,115
1220,495.77,122
1220,495.77,119
1212,495.77,119
1200,496.76,108
1192,496.08,126
1184,499.07,86
1220,502.06,83
1200,503.37,98
1232,500.78,140
1220,497.51,150
1224,494.2,143
1212,491.85,147
